,title,year,vote_count,vote_average,popularity,genres,weighted_rating,tagline,overview,id,poster_path,description,cast,crew,keywords,mixed_credits
0,Inception,2010,14075,8,29.108149,"['Action', 'Thriller', 'Science Fiction', 'Mystery', 'Adventure']",7.917588057742396,Your mind is the scene of the crime.,"Cobb, a skilled thief who commits corporate espionage by infiltrating the subconscious of his targets is offered a chance to regain his old life as payment for a task considered to be impossible: ""inception"", the implantation of another person's idea into a target's subconscious.",27205,/qmDpIHrmpJINaRKAfWQfftjCdyi.jpg,"Cobb, a skilled thief who commits corporate espionage by infiltrating the subconscious of his targets is offered a chance to regain his old life as payment for a task considered to be impossible: ""inception"", the implantation of another person's idea into a target's subconscious.Your mind is the scene of the crime.","['leonardodicaprio', 'josephgordon-levitt', 'ellenpage']",['christophernolan'],"['lossoflov', 'dream', 'kidnap', 'sleep', 'subconsci', 'heist', 'redempt', 'femalehero']",Action Thriller Science Fiction Mystery Adventure leonardodicaprio josephgordon-levitt ellenpage christophernolan christophernolan christophernolan lossoflov dream kidnap sleep subconsci heist redempt femalehero
1,The Dark Knight,2008,12269,8,123.167259,"['Drama', 'Action', 'Crime', 'Thriller']",7.905871457906355,Why So Serious?,"Batman raises the stakes in his war on crime. With the help of Lt. Jim Gordon and District Attorney Harvey Dent, Batman sets out to dismantle the remaining criminal organizations that plague the streets. The partnership proves to be effective, but they soon find themselves prey to a reign of chaos unleashed by a rising criminal mastermind known to the terrified citizens of Gotham as the Joker.",155,/1hRoyzDtpgMU7Dz4JF22RANzQO7.jpg,"Batman raises the stakes in his war on crime. With the help of Lt. Jim Gordon and District Attorney Harvey Dent, Batman sets out to dismantle the remaining criminal organizations that plague the streets. The partnership proves to be effective, but they soon find themselves prey to a reign of chaos unleashed by a rising criminal mastermind known to the terrified citizens of Gotham as the Joker.Why So Serious?","['christianbale', 'michaelcaine', 'heathledger']",['christophernolan'],"['dccomic', 'crimefight', 'secretident', 'scarecrow', 'sadism', 'chao', 'gothamc', 'vigilant', 'joker', 'superhero', 'basedoncom', 'tragichero', 'organizedcrim', 'criminalmastermind', 'districtattorney', 'imax', 'supervillain', 'superpow', 'batman']",Drama Action Crime Thriller christianbale michaelcaine heathledger christophernolan christophernolan christophernolan dccomic crimefight secretident scarecrow sadism chao gothamc vigilant joker superhero basedoncom tragichero organizedcrim criminalmastermind districtattorney imax supervillain superpow batman
2,Interstellar,2014,11187,8,32.213481,"['Adventure', 'Drama', 'Science Fiction']",7.897107402958818,Mankind was born on Earth. It was never meant to die here.,Interstellar chronicles the adventures of a group of explorers who make use of a newly discovered wormhole to surpass the limitations on human space travel and conquer the vast distances involved in an interstellar voyage.,157336,/nBNZadXqJSdt05SHLqgT0HuC5Gm.jpg,Interstellar chronicles the adventures of a group of explorers who make use of a newly discovered wormhole to surpass the limitations on human space travel and conquer the vast distances involved in an interstellar voyage.Mankind was born on Earth. It was never meant to die here.,"['matthewmcconaughey', 'jessicachastain', 'annehathaway']",['christophernolan'],"['savingtheworld', 'artificialintellig', 'fathersonrelationship', 'singlepar', 'nasa', 'expedit', 'wormhol', 'spacetravel', 'famin', 'blackhol', 'dystopia', 'raceagainsttim', 'quantummechan', 'spaceship', 'space', 'rescu', 'familyrelationship', 'farmhous', 'robot', 'astronaut', 'scientist', 'fatherdaughterrelationship', 'singlefath', 'farmer', 'spacest', 'imax', 'astrophys', 'zerograv', 'courag', 'timeparadox', 'relat']",Adventure Drama Science Fiction matthewmcconaughey jessicachastain annehathaway christophernolan christophernolan christophernolan savingtheworld artificialintellig fathersonrelationship singlepar nasa expedit wormhol spacetravel famin blackhol dystopia raceagainsttim quantummechan spaceship space rescu familyrelationship farmhous robot astronaut scientist fatherdaughterrelationship singlefath farmer spacest imax astrophys zerograv courag timeparadox relat
3,Fight Club,1999,9678,8,63.869599,['Drama'],7.881752880714441,Mischief. Mayhem. Soap.,"A ticking-time-bomb insomniac and a slippery soap salesman channel primal male aggression into a shocking new form of therapy. Their concept catches on, with underground ""fight clubs"" forming in every town, until an eccentric gets in the way and ignites an out-of-control spiral toward oblivion.",550,/adw6Lq9FiC9zjYEpOqfq03ituwp.jpg,"A ticking-time-bomb insomniac and a slippery soap salesman channel primal male aggression into a shocking new form of therapy. Their concept catches on, with underground ""fight clubs"" forming in every town, until an eccentric gets in the way and ignites an out-of-control spiral toward oblivion.Mischief. Mayhem. Soap.","['edwardnorton', 'bradpitt', 'meatloaf']",['davidfincher'],"['supportgroup', 'dualident', 'nihil', 'rageandh', 'insomnia', 'dystopia', 'violenc']",Drama edwardnorton bradpitt meatloaf davidfincher davidfincher davidfincher supportgroup dualident nihil rageandh insomnia dystopia violenc
4,The Lord of the Rings: The Fellowship of the Ring,2001,8892,8,32.070725,"['Adventure', 'Fantasy', 'Action']",7.871786953654775,One ring to rule them all,"Young hobbit Frodo Baggins, after inheriting a mysterious ring from his uncle Bilbo, must leave his home in order to keep it from falling into the hands of its evil creator. Along the way, a fellowship is formed to protect the ringbearer and make sure that the ring arrives at its final destination: Mt. Doom, the only place where it can be destroyed.",120,/bxVxZb5O9OxCO0oRUNdCnpy9NST.jpg,"Young hobbit Frodo Baggins, after inheriting a mysterious ring from his uncle Bilbo, must leave his home in order to keep it from falling into the hands of its evil creator. Along the way, a fellowship is formed to protect the ringbearer and make sure that the ring arrives at its final destination: Mt. Doom, the only place where it can be destroyed.One ring to rule them all","['elijahwood', 'ianmckellen', 'cateblanchett']",['peterjackson'],"['elv', 'dwarv', 'orc', 'middle-earth(tolkien)', 'hobbit', 'basedonnovel', 'mountain', 'firework', 'castl', 'volcano', 'password', 'deathofafriend', 'uncl', 'mirror', 'wizard', 'swordandsorceri']",Adventure Fantasy Action elijahwood ianmckellen cateblanchett peterjackson peterjackson peterjackson elv dwarv orc middle-earth(tolkien) hobbit basedonnovel mountain firework castl volcano password deathofafriend uncl mirror wizard swordandsorceri
5,Pulp Fiction,1994,8670,8,140.950236,"['Thriller', 'Crime']",7.868660493166128,Just because you are a character doesn't mean you have character.,"A burger-loving hit man, his philosophical partner, a drug-addled gangster's moll and a washed-up boxer converge in this sprawling, comedic crime caper. Their adventures unfurl in three stories that ingeniously trip back and forth in time.",680,/dM2w364MScsjFf8pfMbaWUcWrR.jpg,"A burger-loving hit man, his philosophical partner, a drug-addled gangster's moll and a washed-up boxer converge in this sprawling, comedic crime caper. Their adventures unfurl in three stories that ingeniously trip back and forth in time.Just because you are a character doesn't mean you have character.","['johntravolta', 'samuell.jackson', 'umathurman']",['quentintarantino'],"['transport', 'brothel', 'drugdeal', 'boxer', 'massag', 'stolenmoney', 'crimeboss', 'dancecontest', 'junkyard', 'kamikaz', 'ambiguousend', 'briefcas', 'redempt', 'heirloom', 'pulpfict', 'referencetoalgreen', 'theft', 'brutal']",Thriller Crime johntravolta samuell.jackson umathurman quentintarantino quentintarantino quentintarantino transport brothel drugdeal boxer massag stolenmoney crimeboss dancecontest junkyard kamikaz ambiguousend briefcas redempt heirloom pulpfict referencetoalgreen theft brutal
6,The Shawshank Redemption,1994,8358,8,51.645403,"['Drama', 'Crime']",7.863999673542359,Fear can hold you prisoner. Hope can set you free.,"Framed in the 1940s for the double murder of his wife and her lover, upstanding banker Andy Dufresne begins a new life at the Shawshank prison, where he puts his accounting skills to work for an amoral warden. During his long stretch in prison, Dufresne comes to be admired by the other inmates -- including an older prisoner named Red -- for his integrity and unquenchable sense of hope.",278,/9O7gLzmreU0nGkIB6K3BsJbzvNv.jpg,"Framed in the 1940s for the double murder of his wife and her lover, upstanding banker Andy Dufresne begins a new life at the Shawshank prison, where he puts his accounting skills to work for an amoral warden. During his long stretch in prison, Dufresne comes to be admired by the other inmates -- including an older prisoner named Red -- for his integrity and unquenchable sense of hope.Fear can hold you prisoner. Hope can set you free.","['timrobbins', 'morganfreeman', 'bobgunton']",['frankdarabont'],"['prison', 'corrupt', 'policebrut', 'prisoncel', 'delinqu', 'paroleboard', 'escapefromprison', 'wrongfulimprison', 'framedformurd', '1940s']",Drama Crime timrobbins morganfreeman bobgunton frankdarabont frankdarabont frankdarabont prison corrupt policebrut prisoncel delinqu paroleboard escapefromprison wrongfulimprison framedformurd 1940s
7,The Lord of the Rings: The Return of the King,2003,8226,8,29.324358,"['Adventure', 'Fantasy', 'Action']",7.8619266893515505,The eye of the enemy is moving.,"Aragorn is revealed as the heir to the ancient kings as he, Gandalf and the other members of the broken fellowship struggle to save Gondor from Sauron's forces. Meanwhile, Frodo and Sam bring the ring closer to the heart of Mordor, the dark lord's realm.",122,/uexxR7Kw1qYbZk0RYaF9Rx5ykbj.jpg,"Aragorn is revealed as the heir to the ancient kings as he, Gandalf and the other members of the broken fellowship struggle to save Gondor from Sauron's forces. Meanwhile, Frodo and Sam bring the ring closer to the heart of Mordor, the dark lord's realm.The eye of the enemy is moving.","['elijahwood', 'ianmckellen', 'viggomortensen']",['peterjackson'],"['elv', 'orc', 'middle-earth(tolkien)', 'basedonnovel', 'suspicion', 'braveri', 'war', 'honor', 'troll', 'brutal', 'violenc', 'ghost', 'endoftrilog', 'quest', 'swordandsorceri']",Adventure Fantasy Action elijahwood ianmckellen viggomortensen peterjackson peterjackson peterjackson elv orc middle-earth(tolkien) basedonnovel suspicion braveri war honor troll brutal violenc ghost endoftrilog quest swordandsorceri
8,Forrest Gump,1994,8147,8,48.307194,"['Comedy', 'Drama', 'Romance']",7.860655533129522,"The world will never be the same, once you've seen it through the eyes of Forrest Gump.","A man with a low IQ has accomplished great things in his life and been present during significant historic events - in each case, far exceeding what anyone imagined he could do. Yet, despite all the things he has attained, his one true love eludes him. 'Forrest Gump' is the story of a man who rose above his challenges, and who proved that determination, courage, and love are more important than ability.",13,/yE5d3BUhE8hCnkMUJOo1QDoOGNz.jpg,"A man with a low IQ has accomplished great things in his life and been present during significant historic events - in each case, far exceeding what anyone imagined he could do. Yet, despite all the things he has attained, his one true love eludes him. 'Forrest Gump' is the story of a man who rose above his challenges, and who proved that determination, courage, and love are more important than ability.The world will never be the same, once you've seen it through the eyes of Forrest Gump.","['tomhanks', 'robinwright', 'garysinise']",['robertzemeckis'],"['vietnamveteran', 'hippi', 'mentallydis', 'run', 'basedonnovel', 'vietnam', 'vietnamwar', 'friendship', 'love', 'familyrelationship', 'bulli', 'mothersonrelationship', 'militari', 'hug', 'shrimp', 'woundedsoldi', 'flashback', 'parkbench', 'ampute']",Comedy Drama Romance tomhanks robinwright garysinise robertzemeckis robertzemeckis robertzemeckis vietnamveteran hippi mentallydis run basedonnovel vietnam vietnamwar friendship love familyrelationship bulli mothersonrelationship militari hug shrimp woundedsoldi flashback parkbench ampute
9,The Lord of the Rings: The Two Towers,2002,7641,8,29.423537,"['Adventure', 'Fantasy', 'Action']",7.851923855081663,A New Power Is Rising.,"Frodo and Sam are trekking to Mordor to destroy the One Ring of Power while Gimli, Legolas and Aragorn search for the orc-captured Merry and Pippin. All along, nefarious wizard Saruman awaits the Fellowship members at the Orthanc Tower in Isengard.",121,/wf3v0Pn09jnT5HSaYal7Ami3bdA.jpg,"Frodo and Sam are trekking to Mordor to destroy the One Ring of Power while Gimli, Legolas and Aragorn search for the orc-captured Merry and Pippin. All along, nefarious wizard Saruman awaits the Fellowship members at the Orthanc Tower in Isengard.A New Power Is Rising.","['elijahwood', 'ianmckellen', 'viggomortensen']",['peterjackson'],"['elv', 'orc', 'middle-earth(tolkien)', 'hobbit', 'basedonnovel', 'explos', 'cave', 'fort', 'armi', 'mission', 'attack', 'guid', 'wizard', 'ring', 'swordandsorceri']",Adventure Fantasy Action elijahwood ianmckellen viggomortensen peterjackson peterjackson peterjackson elv orc middle-earth(tolkien) hobbit basedonnovel explos cave fort armi mission attack guid wizard ring swordandsorceri
